Apple | Noun | Яблоко | A1  
Like | Verb | Нравиться | A1  
Lion | Noun | Лев | A1  
Listen | Verb | Слушать | A1  
Long | Adjective | Длинный | A1  
Look | Verb | Смотреть | A1  
Love | Verb | Любить | A1  
Man | Noun | Мужчина | A1  
Milk | Noun | Молоко | A1  
Moon | Noun | Луна | A1  
Mother | Noun | Мать | A1  
Mountain | Noun | Гора | A1  
Mouth | Noun | Рот | A1  
Name | Noun | Имя | A1  
Night | Noun | Ночь | A1  
Nose | Noun | Нос | A1  
Old | Adjective | Старый | A1  
Orange | Noun | Апельсин | A1  
Paper | Noun | Бумага | A1  
Pen | Noun | Ручка | A1  
Pencil | Noun | Карандаш | A1  
Person | Noun | Человек | A1  
Picture | Noun | Картина | A1  
Play | Verb | Играть | A1  
Rain | Noun | Дождь | A1  
Read | Verb | Читать | A1  
Red | Adjective | Красный | A1  
Rice | Noun | Рис | A1  
River | Noun | Река | A1  
Run | Verb | Бегать | A1  
Salt | Noun | Соль | A1  
School | Noun | Школа | A1  
Sea | Noun | Море | A1  
See | Verb | Видеть | A1  
Sheep | Noun | Овца | A1  
Short | Adjective | Короткий | A1  
Sister | Noun | Сестра | A1  
Sit | Verb | Сидеть | A1  
Sky | Noun | Небо | A1  
Small | Adjective | Маленький | A1  
Snow | Noun | Снег | A1  
Song | Noun | Песня | A1  
Star | Noun | Звезда | A1  
Street | Noun | Улица | A1  
Sun | Noun | Солнце | A1  
Table | Noun | Стол | A1  
Talk | Verb | Говорить | A1  
Tall | Adjective | Высокий | A1  
Teacher | Noun | Учитель | A1  
Tree | Noun | Дерево | A1  
Water | Noun | Вода | A1  
White | Adjective | Белый | A1  
Woman | Noun | Женщина | A1  
Yellow | Adjective | Жёлтый | A1  
Above | Preposition | Над | A2  
Accident | Noun | Несчастный случай | A2  
Adventure | Noun | Приключение | A2  
Agree | Verb | Соглашаться | A2  
Airport | Noun | Аэропорт | A2  
Alarm | Noun | Будильник | A2  
Alive | Adjective | Живой | A2  
Angry | Adjective | Злой | A2  
Answer | Verb | Отвечать | A2  
Apartment | Noun | Квартира | A2  
Arrive | Verb | Прибывать | A2  
Autumn | Noun | Осень | A2  
Awful | Adjective | Ужасный | A2  
Backpack | Noun | Рюкзак | A2  
Bake | Verb | Печь (выпечку) | A2  
Balloon | Noun | Воздушный шар | A2  
Bath | Noun | Ванна | A2  
Beach | Noun | Пляж | A2  
Bean | Noun | Фасоль | A2  
Bicycle | Noun | Велосипед | A2  
Boring | Adjective | Скучный | A2  
Borrow | Verb | Брать взаймы | A2  
Bottle | Noun | Бутылка | A2  
Bridge | Noun | Мост | A2  
Bright | Adjective | Яркий | A2  
Burn | Verb | Гореть | A2  
Busy | Adjective | Занятый | A2  
Butter | Noun | Масло (сливочное) | A2  
Button | Noun | Кнопка | A2  
Cake | Noun | Торт | A2  
Camera | Noun | Фотоаппарат | A2  
Camp | Verb | Лагерь | A2  
Capital | Noun | Столица | A2  
Careful | Adjective | Осторожный | A2  
Carpet | Noun | Ковёр | A2  
Castle | Noun | Замок | A2  
Cheese | Noun | Сыр | A2  
Chocolate | Noun | Шоколад | A2  
Choose | Verb | Выбирать | A2  
Climb | Verb | Взбираться | A2  
Cloudy | Adjective | Облачный | A2  
Coin | Noun | Монета | A2  
Collect | Verb | Коллекционировать | A2  
Comfortable | Adjective | Удобный | A2  
Competition | Noun | Соревнование | A2  
Cook | Verb | Готовить | A2  
Corner | Noun | Угол | A2  
Cost | Verb | Стоить | A2  
Cough | Verb | Кашлять | A2  
Count | Verb | Считать | A2  
Countryside | Noun | Деревня | A2  
Crowd | Noun | Толпа | A2  
Curtain | Noun | Штора | A2  
Customer | Noun | Покупатель | A2  
Dangerous | Adjective | Опасный | A2  
Dark | Adjective | Тёмный | A2  
Decide | Verb | Решать | A2  
Delicious | Adjective | Вкусный | A2  
Describe | Verb | Описывать | A2  
Dessert | Noun | Десерт | A2  
Dictionary | Noun | Словарь | A2  
Difficult | Adjective | Трудный | A2  
Dirty | Adjective | Грязный | A2  
Disagree | Verb | Не соглашаться | A2  
Discover | Verb | Открывать | A2  
Discuss | Verb | Обсуждать | A2  
Dollar | Noun | Доллар | A2  
Dream | Noun | Мечта | A2  
Drive | Verb | Водить (машину) | A2  
Drop | Verb | Падать | A2  
Dry | Adjective | Сухой | A2  
During | Preposition | В течение | A2  
Easily | Adverb | Легко | A2  
Empty | Adjective | Пустой | A2  
Enough | Adjective | Достаточно | A2  
Enter | Verb | Входить | A2  
Envelope | Noun | Конверт | A2  
Especially | Adverb | Особенно | A2  
Exciting | Adjective | Увлекательный | A2  
Expensive | Adjective | Дорогой | A2  
Explain | Verb | Объяснять | A2  
Famous | Adjective | Известный | A2  
Far | Adjective | Далёкий | A2  
Farm | Noun | Ферма | A2  
Fasten | Verb | Пристёгивать | A2  
Fight | Verb | Драться | A2  
Fill | Verb | Заполнять | A2  
Film | Noun | Фильм | A2  
Fire | Noun | Огонь | A2  
Fix | Verb | Чинить | A2  
Flashlight | Noun | Фонарик | A2  
Flight | Noun | Полёт | A2  
Fog | Noun | Туман | A2  
Follow | Verb | Следовать | A2  
Foreign | Adjective | Иностранный | A2  
Forget | Verb | Забывать | A2  
Fork | Noun | Вилка | A2  
Freeze | Verb | Замерзать | A2  
Fridge | Noun | Холодильник | A2  
Friendly | Adjective | Дружелюбный | A2  
Frightened | Adjective | Испуганный | A2  
Fruit | Noun | Фрукт | A2  
Full | Adjective | Полный | A2  
Funny | Adjective | Смешной | A2  
Future | Noun | Будущее | A2  
Garden | Noun | Сад | A2  
Gate | Noun | Ворота | A2  
Gentle | Adjective | Мягкий | A2  
Gift | Noun | Подарок | A2  
Glove | Noun | Перчатка | A2  
Gold | Noun | Золото | A2  
Grandmother | Noun | Бабушка | A2  
Grape | Noun | Виноград | A2  
Grow | Verb | Расти | A2  
Guest | Noun | Гость | A2  
Habit | Noun | Привычка | A2  
Happen | Verb | Происходить | A2  
Hard | Adjective | Твёрдый | A2  
Hate | Verb | Ненавидеть | A2  
Health | Noun | Здоровье | A2  
Heavy | Adjective | Тяжёлый | A2  
Holiday | Noun | Праздник | A2  
Honey | Noun | Мёд | A2  
Hope | Verb | Надеяться | A2  
Hurry | Verb | Торопиться | A2  
Ice cream | Noun | Мороженое | A2  
Idea | Noun | Идея | A2  
Important | Adjective | Важный | A2  
Improve | Verb | Улучшать | A2  
Insect | Noun | Насекомое | A2  
Invite | Verb | Приглашать | A2  
Jacket | Noun | Куртка | A2  
Jeans | Noun | Джинсы | A2  
Join | Verb | Присоединяться | A2  
Juice | Noun | Сок | A2  
Jump | Verb | Прыгать | A2  
Kettle | Noun | Чайник | A2  
Kiss | Verb | Целовать | A2  
Knife | Noun | Нож | A2  
Ladder | Noun | Лестница | A2  
Lamp | Noun | Лампа | A2  
Lazy | Adjective | Ленивый | A2  
Leave | Verb | Уходить | A2  
Lend | Verb | Давать взаймы | A2  
Letter | Noun | Письмо | A2  
Lie | Verb | Лгать | A2  
Lift | Verb | Поднимать | A2  
Loud | Adjective | Громкий | A2  
Luggage | Noun | Багаж | A2  
Magazine | Noun | Журнал | A2  
Market | Noun | Рынок | A2  
Married | Adjective | Женатый/Замужем | A2  
Meal | Noun | Приём пищи | A2  
Meat | Noun | Мясо | A2  
Medicine | Noun | Лекарство | A2  
Meeting | Noun | Встреча | A2  
Melt | Verb | Таять | A2  
Message | Noun | Сообщение | A2  
Metal | Noun | Металл | A2  
Mirror | Noun | Зеркало | A2  
Missing | Adjective | Пропавший | A2  
Mistake | Noun | Ошибка | A2  
Modern | Adjective | Современный | A2  
Moment | Noun | Момент | A2  
Motorcycle | Noun | Мотоцикл | A2  
Museum | Noun | Музей | A2  
Musician | Noun | Музыкант | A2  
Necklace | Noun | Ожерелье | A2  
Neighbour | Noun | Сосед | A2  
Noisy | Adjective | Шумный | A2  
Note | Noun | Заметка | A2  
Novel | Noun | Роман (книга) | A2  
O'clock | Adverb | Час | A2  
Offer | Verb | Предлагать | A2  
Oven | Noun | Духовка | A2  
Own | Verb | Владеть | A2  
Pack | Verb | Упаковывать | A2  
Painting | Noun | Картина | A2  
Passport | Noun | Паспорт | A2  
Pepper | Noun | Перец | A2  
Perfect | Adjective | Идеальный | A2  
Photograph | Noun | Фотография | A2  
Pillow | Noun | Подушка | A2  
Plan | Verb | Планировать | A2  
Platform | Noun | Платформа | A2  
Pocket | Noun | Карман | A2  
Polite | Adjective | Вежливый | A2  
Population | Noun | Население | A2  
Possible | Adjective | Возможный | A2  
Postcard | Noun | Открытка | A2  
Practice | Verb | Практиковаться | A2  
Prefer | Verb | Предпочитать | A2  
Prepare | Verb | Готовить | A2  
Present | Noun | Подарок | A2  
Problem | Noun | Проблема | A2  
Promise | Verb | Обещать | A2  
Proud | Adjective | Гордый | A2  
Push | Verb | Толкать | A2  
Quiet | Adjective | Тихий | A2  
Race | Noun | Гонка | A2  
Raincoat | Noun | Дождевик | A2  
Receive | Verb | Получать | A2  
Remember | Verb | Помнить | A2  
Repair | Verb | Чинить | A2  
Repeat | Verb | Повторять | A2  
Rest | Verb | Отдыхать | A2  
Rich | Adjective | Богатый | A2  
Ride | Verb | Ездить | A2  
Ring | Noun | Кольцо | A2  
Rubbish | Noun | Мусор | A2  
Rude | Adjective | Грубый | A2  
Safe | Adjective | Безопасный | A2  
Sand | Noun | Песок | A2  
Save | Verb | Экономить | A2  
Scared | Adjective | Испуганный | A2  
Search | Verb | Искать | A2  
Secret | Noun | Секрет | A2  
Shout | Verb | Кричать | A2  
Silent | Adjective | Тихий | A2  
Simple | Adjective | Простой | A2  
Single | Adjective | Одинокий | A2  
Smell | Verb | Пахнуть | A2  
Smile | Verb | Улыбаться | A2  
Snowy | Adjective | Снежный | A2  
Soft | Adjective | Мягкий | A2  
Soon | Adverb | Скоро | A2  
Sorry | Adjective | Сожалеющий | A2  
Sound | Noun | Звук | A2  
Special | Adjective | Особенный | A2  
Spend | Verb | Тратить | A2  
Spicy | Adjective | Острый | A2  
Strange | Adjective | Странный | A2  
Strong | Adjective | Сильный | A2  
Student | Noun | Студент | A2  
Study | Verb | Учить | A2  
Sugar | Noun | Сахар | A2  
Suitcase | Noun | Чемодан | A2  
Sunny | Adjective | Солнечный | A2  
Surprise | Noun | Сюрприз | A2  
Sweet | Adjective | Сладкий | A2  
Swim | Verb | Плавать | A2  
Taste | Verb | Пробовать | A2  
Team | Noun | Команда | A2  
Temperature | Noun | Температура | A2  
Terrible | Adjective | Ужасный | A2  
Thirsty | Adjective | Жаждущий | A2  
Tidy | Adjective | Аккуратный | A2  
Tired | Adjective | Уставший | A2  
Toothache | Noun | Зубная боль | A2  
Tourist | Noun | Турист | A2  
Town | Noun | Город | A2  
Traffic | Noun | Движение | A2  
Train | Noun | Поезд | A2  
Travel | Verb | Путешествовать | A2  
Trouble | Noun | Проблема | A2  
True | Adjective | Правдивый | A2  
Umbrella | Noun | Зонт | A2  
Unhappy | Adjective | Несчастный | A2  
Useful | Adjective | Полезный | A2  
Vacation | Noun | Отпуск | A2  
Vegetable | Noun | Овощ | A2  
Village | Noun | Деревня | A2  
Visit | Verb | Посещать | A2  
Wait | Verb | Ждать | A2  
Wake up | Verb | Просыпаться | A2  
Warm | Adjective | Тёплый | A2  
Wash | Verb | Мыть | A2  
Weak | Adjective | Слабый | A2  
Weather | Noun | Погода | A2  
Wet | Adjective | Мокрый | A2  
Wine | Noun | Вино | A2  
Wish | Verb | Желать | A2  
Wonderful | Adjective | Замечательный | A2  
Worried | Adjective | Взволнованный | A2  
Worse | Adjective | Хуже | A2  
Write | Verb | Писать | A2  
Wrong | Adjective | Неправильный | A2   
